nome;nome_sistema;tombamento;ano;local_sistema;local_exato_ambiente;condicao
Mesa ;MESA PARA ESTODO;294261;Anterior a 2019;DIBEM;Residencia 125;Bom
Mesa Redonda ;MESA DE MADEIRA REDONDA;294266;Anterior a 2019;DIBEM;;Pendente
Mesa Redonda ;MESA DE MADEIRA REDONDA;294269;Anterior a 2019;DIBEM;;Pendente
Mesa Redonda ;MESA DE MADEIRA REDONDA;294271;Anterior a 2019;DIBEM;;Pendente
Mesa Redonda ;MESA DE MADEIRA REDONDA;294272;Anterior a 2019;DIBEM;Residencia 125;Bom
Mesa Redonda ;MESA DE MADEIRA REDONDA;294273;Anterior a 2019;DIBEM;Residencia 125;Bom
Mesa Redonda ;MESA DE MADEIRA REDONDA;294274;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA DE CENTRO;294279;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294283;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294284;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294285;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294286;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294287;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294292;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294293;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294294;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;294300;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;294301;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;294303;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;294305;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;294307;Anterior a 2019;DIBEM;;Pendente
Armario De Aco;ARMARIO DE ACO;294313;Anterior a 2019;DIBEM;;Pendente
Quadro Branco Magnetizado;QUADRO BRANCO MAGNETIZADO;294315;Anterior a 2019;DIBEM;;Pendente
Quadro Branco Magnetizado;QUADRO BRANCO MAGNETIZADO;294316;Anterior a 2019;DIBEM;;Pendente
Quadro Branco Magnetizado;QUADRO BRANCO MAGNETIZADO;294317;Anterior a 2019;DIBEM;Residencia 125;Inservível
Quadro Branco Magnetizado;QUADRO BRANCO MAGNETIZADO;294324;Anterior a 2019;CRU;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;294337;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294339;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294340;Anterior a 2019;DIBEM;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294341;Anterior a 2019;PRAE;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294342;Anterior a 2019;PRAE;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294343;Anterior a 2019;PRAE;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294344;Anterior a 2019;PRAE;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294345;Anterior a 2019;PRAE;;Pendente
Escrivaninha De Madeira Com Gavetas;ESCRIVANINHA DE MADEIRA COM GAVETAS;294346;Anterior a 2019;PRAE;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;294651;Anterior a 2019;DIBEM;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;294653;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;294654;Anterior a 2019;DIBEM;Residencia 433;Bom
Mesa ;MESA DE MADEIRA SEM GAVETA;294655;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294810;Anterior a 2019;DIBEM;Residencia 2133;Ruim
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294811;Anterior a 2019;DIBEM;Residencia 2133;Ruim
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294822;Anterior a 2019;DIBEM;Residência 1601;Ruim
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294832;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;294833;Anterior a 2019;DIBEM;Residência 1601;Ruim
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294878;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294879;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294881;Anterior a 2019;PRAE;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294886;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294887;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294888;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294889;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294892;Anterior a 2019;DIBEM;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294896;Anterior a 2019;PRAE;;Pendente
Estabilizador De Tensao;ESTABILIZADOR DE TENSAO;294901;Anterior a 2019;DIBEM;;Pendente
Switch;SWITCH;294943;Anterior a 2019;DIBEM;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295280;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295281;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295283;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295285;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295287;Anterior a 2019;DIBEM;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295288;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295290;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295291;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295292;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295294;Anterior a 2019;DIBEM;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295295;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295296;Anterior a 2019;PRAE;;Pendente
Cadeira Estofada Modelo Diretor Com Braços;CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS;295297;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295298;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295299;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295302;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295303;Anterior a 2019;CRU;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295304;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295305;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295308;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295310;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295311;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295313;Anterior a 2019;CRU;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295317;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295319;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295320;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295327;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295330;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295331;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295336;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295337;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295346;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295348;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295349;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295355;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295356;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295367;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295368;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295371;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295372;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295374;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295375;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295379;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295381;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295382;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295384;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295385;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295387;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295392;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295395;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295397;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295399;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295400;Anterior a 2019;CRU;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295401;Anterior a 2019;CRU;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295415;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295416;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295435;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295451;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295465;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295474;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295475;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295479;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295480;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295481;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295484;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295487;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295491;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295498;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295499;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295500;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295502;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295504;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295509;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295510;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295513;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295514;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295518;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295521;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295522;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295523;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295524;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295526;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295527;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295529;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295531;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295533;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295534;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295535;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295536;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295537;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295538;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295540;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295541;Anterior a 2019;PRAE;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295542;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295544;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295545;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295552;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295554;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295555;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295556;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295557;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295558;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295560;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295562;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295565;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295567;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295568;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295569;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295570;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295572;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295573;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295574;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295576;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295591;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295603;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295604;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295608;Anterior a 2019;DIBEM;Residencia 125;Ruim
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295619;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295623;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295624;Anterior a 2019;DIBEM;Residencia 125;Bom
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295627;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295629;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295630;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295634;Anterior a 2019;DIBEM;Residencia 125;Ruim
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295637;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295638;Anterior a 2019;DIBEM;;Pendente
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;295640;Anterior a 2019;DIBEM;;Pendente
