nome;nome_sistema;tombamento;ano;local_sistema;local_exato_ambiente;condicao
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10391;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10407;Anterior a 2019;DIBEM;Residencia 2216;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10412;Anterior a 2019;DIBEM;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;10417;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;10428;Anterior a 2019;DIBEM;;Pendente
Banco Individual De Madeira;BANCO INDIVIDUAL DE MADEIRA;10445;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;10450;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;10454;Anterior a 2019;DIBEM;Residencia 2133;Bom
Mesa ;MESA DE MADEIRA SEM GAVETA;10455;Anterior a 2019;DIBEM;;Pendente
Conjunto Estofado Composto De 01 Sofa E 02 Poltron;CONJUNTO ESTOFADO COMPOSTO DE 01 SOFA E 02 POLTRON;10464;Anterior a 2019;DIBEM;Residencia 2216;Bom
Beliche De Aco;BELICHE DE ACO;10528;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;10538;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;10544;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;10578;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;10604;Anterior a 2019;DIBEM;;Pendente
Conjunto Estofado Composto De 01 Sofa E 02 Poltron;CONJUNTO ESTOFADO COMPOSTO DE 01 SOFA E 02 POLTRON;10646;Anterior a 2019;DIBEM;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;10657;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;10658;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;10659;Anterior a 2019;DIBEM;;Pendente
Cavalete De Madeira;CAVALETE DE MADEIRA;10662;Anterior a 2019;DIBEM;;Pendente
Banco Individual De Madeira;BANCO INDIVIDUAL DE MADEIRA;10663;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10676;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10677;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10678;Anterior a 2019;DIBEM;Residencia 250;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10679;Anterior a 2019;DIBEM;Residencia 250;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10680;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;10681;Anterior a 2019;DIBEM;Residencia 250;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10739;Anterior a 2019;DIBEM;;Pendente
Cama De Madeira Para Solteiro;CAMA DE MADEIRA PARA SOLTEIRO;10771;Anterior a 2019;DIBEM;;Pendente
Estante De Aco Aberta Com Prateleiras;ESTANTE DE ACO ABERTA COM PRATELEIRAS;14098;Anterior a 2019;DIBEM;;Pendente
Carteira  Com Assento E Encosto Em Madeira;CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA;16709;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;16982;Anterior a 2019;DIBEM;;Pendente
Mesa 02;MESA DE MADEIRA COM 02 GAVETAS;19932;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;27537;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;34103;Anterior a 2019;DIBEM;Residencia 2133;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;35362;Anterior a 2019;DIBEM;;Pendente
Cadeira Com Assento E Encosto De Madeira Montada E;CADEIRA COM ASSENTO E ENCOSTO DE MADEIRA MONTADA E;36428;Anterior a 2019;DIBEM;;Pendente
Carteira  Com Assento E Encosto Em Madeira;CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA;38199;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA PARA MAQUINA DE ESCREVER;39538;Anterior a 2019;CASE;Residencia 2133;Ruim
Mesa ;MESA DE MADEIRA SEM GAVETA;40159;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;40276;Anterior a 2019;DIBEM;;Pendente
Mesa 02;MESA DE MADEIRA COM 02 GAVETAS;41088;Anterior a 2019;DIBEM;;Pendente
Arquivo De Aco Com Gavetas;ARQUIVO DE ACO COM GAVETAS;42896;Anterior a 2019;DIBEM;;Pendente
